Time (s)	System Output	ControllerOutput
0.000000	0.000000	1.504000
0.010000	0.000602	1.489438
0.020000	0.001787	1.487639
0.030000	0.003542	1.477248
0.040000	0.005853	1.471230
0.050000	0.008703	1.461767
0.060000	0.012077	1.453628
0.070000	0.015960	1.443959
0.080000	0.020337	1.434520
0.090000	0.025192	1.424280
0.100000	0.030510	1.413895
0.110000	0.036275	1.403000
0.120000	0.042471	1.391849
0.130000	0.049082	1.380320
0.140000	0.056095	1.368519
0.150000	0.063491	1.356413
0.160000	0.071257	1.344052
0.170000	0.079377	1.331436
0.180000	0.087836	1.318597
0.190000	0.096617	1.305544
0.200000	0.105706	1.292300
0.210000	0.115089	1.278881
0.220000	0.124749	1.265306
0.230000	0.134672	1.251590
0.240000	0.144843	1.237752
0.250000	0.155248	1.223807
0.260000	0.165873	1.209773
0.270000	0.176702	1.195664
0.280000	0.187723	1.181496
0.290000	0.198921	1.167285
0.300000	0.210282	1.153045
0.310000	0.221792	1.138792
0.320000	0.233440	1.124538
0.330000	0.245211	1.110298
0.340000	0.257093	1.096085
0.350000	0.269072	1.081914
0.360000	0.281137	1.067793
0.370000	0.293276	1.053741
0.380000	0.305476	1.039763
0.390000	0.317725	1.025876
0.400000	0.330013	1.012088
0.410000	0.342328	0.998410
0.420000	0.354659	0.984855
0.430000	0.366996	0.971430
0.440000	0.379327	0.958145
0.450000	0.391644	0.945012
0.460000	0.403935	0.932036
0.470000	0.416192	0.919230
0.480000	0.428405	0.906597
0.490000	0.440565	0.894149
0.500000	0.452663	0.881892
0.510000	0.464691	0.869833
0.520000	0.476641	0.857978
0.530000	0.488504	0.846334
0.540000	0.500272	0.834908
0.550000	0.511940	0.823702
0.560000	0.523498	0.812728
0.570000	0.534942	0.801985
0.580000	0.546263	0.791477
0.590000	0.557456	0.781213
0.600000	0.568514	0.771194
0.610000	0.579433	0.761426
0.620000	0.590205	0.751907
0.630000	0.600827	0.742648
0.640000	0.611294	0.733642
0.650000	0.621600	0.724900
0.660000	0.631741	0.716419
0.670000	0.641713	0.708202
0.680000	0.651512	0.700252
0.690000	0.661135	0.692567
0.700000	0.670578	0.685151
0.710000	0.679838	0.678004
0.720000	0.688912	0.671124
0.730000	0.697798	0.664517
0.740000	0.706492	0.658173
0.750000	0.714993	0.652103
0.760000	0.723299	0.646297
0.770000	0.731408	0.640758
0.780000	0.739319	0.635489
0.790000	0.747030	0.630480
0.800000	0.754540	0.625736
0.810000	0.761848	0.621255
0.820000	0.768954	0.617030
